Page,Section,Type,Content
Homepage,Hero,Heading,Too Lost Music Group
Homepage,Hero,Label,scroll
Homepage,Divisions,Heading,Divisions
Homepage,Divisions,Count,12
Homepage,Offices,Heading,Global Presence
Homepage,Offices,Count,6
Homepage,Governance,Heading,Governance
Homepage,Mission,Body,"Our mission is to provide creators, labels, and music businesses with the infrastructure, technology, capital, and global access needed to build, scale, and protect valuable music assets."
Homepage,Mission,Body,"Through a portfolio of music companies, brands, platforms, and owned catalog IP, we operate across distribution, publishing technology, rights management, catalog ownership, and music services."
Homepage,Mission,Body,"Our comprehensive framework empowers the independent music sector to grow efficiently, create long-term value, and maintain control over rights, ownership, and creative independence."
Homepage,Board of Directors,Tag,/ board of directors
Homepage,Board of Directors,Name,Gregory Hirschhorn
Homepage,Board of Directors,Role,board director
Homepage,Board of Directors,Description,Too Lost Music Group
Homepage,Board of Directors,LinkedIn,https://www.linkedin.com/in/gregory-hirschhorn-1a8359267/
Homepage,Board of Directors,Name,Alex Silverstein
Homepage,Board of Directors,Role,board director
Homepage,Board of Directors,Description,Too Lost Music Group
Homepage,Board of Directors,LinkedIn,https://www.linkedin.com/in/alex-silverstein-031537129/
Homepage,Board of Directors,Name,Michael S. Berk
Homepage,Board of Directors,Role,board director
Homepage,Board of Directors,Description,TA Associates
Homepage,Board of Directors,Name,Gabriel Weissmann
Homepage,Board of Directors,Role,board director
Homepage,Board of Directors,Description,TA Associates
Homepage,Board of Directors,LinkedIn,https://www.linkedin.com/in/gabriel-weissmann-54579789/
Homepage,Board of Directors,Name,Amara Suebsaeng
Homepage,Board of Directors,Role,board director
Homepage,Board of Directors,Description,TA Associates
Homepage,Board of Directors,LinkedIn,https://www.linkedin.com/in/amara-suebsaeng-a7a14a23/
Homepage,Board of Directors,Name,Charles Goldstuck
Homepage,Board of Directors,Role,board director
Homepage,Board of Directors,Description,GoldState Music
Homepage,Board of Directors,LinkedIn,https://www.linkedin.com/in/charles-goldstuck-765abb90/
Homepage,Partners,Tag,/ our partners
Homepage,Partners,Name,GoldState Music
Homepage,Partners,Role,Partner
Homepage,Partners,Description,Private investment firm with a primary focus on the music sector
Homepage,Partners,Name,TA Associates
Homepage,Partners,Role,Partner
Homepage,Partners,Description,Leading global growth private equity firm
Homepage,Partners,Name,Pinnacle Financial Partners
Homepage,Partners,Role,Partner
Homepage,Partners,Description,Prominent American regional bank and financial holding company
Homepage,Leadership,Tag,/ leadership
Homepage,Leadership,Name,Gregory Hirschhorn
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Executive Officer, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/gregory-hirschhorn-1a8359267/
Homepage,Leadership,Name,Bjarki Lárusson
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Technology Officer, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/bjarki-larusson/
Homepage,Leadership,Name,Alex Silverstein
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Operating Officer, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/alex-silverstein-031537129/
Homepage,Leadership,Name,Jay Moore
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Investment Officer, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/jayrmoore/
Homepage,Leadership,Name,Jennifer Ferrer
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Global Director of Commercial Strategy, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/jen-ferrer-la/
Homepage,Leadership,Name,Andy Irvine
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Executive Officer, GYRO Group · Head of APAC, Too Lost Music Group"
Homepage,Leadership,Name,Viv Melish
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Marketing Officer, GYRO Group · Director of Commercial Strategy APAC, Too Lost Music Group"
Homepage,Leadership,Name,Matthew Rogers
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Chief Commercial Officer, GYRO Group · Head of DistroDirect"
Homepage,Leadership,Name,Alex Wilson
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"General Manager, GYRO Group"
Homepage,Leadership,Name,Adrian Burke
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Executive Vice President of Artist Services, GYRO Group · Head of Group Speed"
Homepage,Leadership,Name,Aldo Davalos
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Head of Business Development, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/aldodavalos/
Homepage,Leadership,Name,Marc Emert-Hutner
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"VP, Artists & Repertoire, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/mahutner/
Homepage,Leadership,Name,Mark VanAtta
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"VP, Finance, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/mvanatta/
Homepage,Leadership,Name,Deanna DeVivo
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"Director, Human Resources, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/deannadevivo/
Homepage,Leadership,Name,Elena Occhipinti
Homepage,Leadership,Role,executive
Homepage,Leadership,Description,"General Counsel, Head of Business Affairs, Too Lost Music Group"
Homepage,Leadership,LinkedIn,https://www.linkedin.com/in/eocchipinti/
Homepage,Organization,Heading,Our Organization
Homepage,Organization,Count,150+
